id_video,c1_description,c2_description,c3_description,c4_description,c5_description,c6_description,c7_description,c8_description
p_000,"The user transitions from no gesture to a sequence of gestures involving a bent thumb and index finger in contact, with varying flexion of the middle, ring, and little fingers, followed by a gesture where the thumb is straight, the index finger is straight, and the middle, ring, and little fingers are bent, before returning to no gesture","The user performs a sequence of gestures starting with a right-hand pose transitioning from a partially bent configuration to a fully straightened hand, followed by a gradual bending of the ring and little fingers, then a thumb-index contact with a leftward thumb direction, and finally a fully bent hand; later, the left hand briefly forms a pose with a bent thumb and straight fingers, alternating with resting positions","The user performs a gesture with the right hand where all fingers are straight, the thumb makes contact with the index and middle fingers, and the palm faces left (Image 5), transitions to a gesture with the right hand where the index finger is bent, the thumb contacts the index finger, and the palm remains left-facing (Image 7), briefly switches to a similar gesture with the left hand (Image 8), and concludes with a gesture where all right-hand fingers are straight, the thumb does not contact any fingers, and the palm remains left-facing (Images 9–13)","The user performs a sequence of gestures, starting with an open hand with fingers straight and close together, transitioning to a thumb bent briefly, followed by thumb and ring/little finger contact, then an outward-facing hand with thumb and index finger contact, and finally returning to a resting position","The user performs a gesture with the right hand where all fingers are straight and close together except for the little finger, with the thumb pointing left and the palm facing outward (Images 3-5), followed by a gesture where the thumb is straight, the index and middle fingers are bent and in contact with the thumb, and the palm remains outward (Images 11-12)","The user transitions from no gesture to forming a pinching motion with the thumb in contact with bent index, middle, and ring fingers while the little finger remains straight, followed by fully straightening all fingers with the palm oriented leftward, and then returns to no gesture","The user transitions from no gesture to extending all fingers of the right hand with the thumb pointing upward, fingers close together except for the little finger, and the palm facing outward, maintaining this pose before returning to no gesture","The user performs a right-hand gesture with all fingers straight and apart, transitioning to a bent thumb with other fingers straight and close, followed by a left-hand gesture with all fingers straight and the thumb in contact with the index and middle fingers, before returning to no gesture"
p_001,"The user transitions from a straight-finger pose with the thumb bent and contacting the little finger, to a bent-thumb pose with no finger contact, and finally to a closed-finger pose with the thumb contacting the bent index, middle, and ring fingers","The user performs a sequence of gestures including a closed fist with thumb contact to all fingers (Image 2), transitioning to an open hand with straight fingers and thumb contact to some fingers (Images 12-13), followed by a bent middle, ring, and little finger gesture with varying thumb contact and palm orientations (Images 14-16, 19, 21)","The user performs a pinching gesture with the right hand (Image 2), transitions to a left-hand gesture with the thumb bent and other fingers straight (Images 4-5), alternates between straight-fingered gestures with both hands (Images 6-8), performs a mixed-finger flexion gesture with both hands (Image 10), transitions to a right-hand gesture with the index finger bent and others straight (Image 11), and concludes with a straight-fingered right-hand gesture (Images 12-13), interspersed with resting positions",,"The user performed a ""pinching"" gesture with the left hand (thumb and index finger in contact, other fingers bent) in Image 3, transitioned to a ""thumb-index-middle contact"" gesture in Image 5, and later shifted to a ""thumb-middle contact"" gesture in Image 12, with variations in finger flexion, proximity, and palm orientation throughout","The user performs a sequence of gestures involving a right hand with a partially bent middle, ring, and little fingers while the thumb points upward and the palm faces outward, transitioning to all fingers straight with the thumb still upward and the palm turning left, followed by a bent middle and ring fingers with the thumb pointing left and making contact with multiple fingers, before returning to no gesture","The user performs a right-hand gesture with all fingers straight, thumb pointing up, and the palm outward, transitioning from thumb contact with the ring and little fingers to no contact, followed by a left-hand gesture with a straight thumb, bent fingers, and the palm oriented to the right","The user performed a ""thumb bent with straight fingers close together"" gesture in Images 5-6, transitioned to ""all fingers straight with thumb up and fingers apart"" in Image 7, returned to a resting position, performed ""all fingers straight with thumb up and fingers close together"" in Image 9, transitioned to ""all fingers straight with thumb backward and fingers apart"" in Image 14, and then returned to a resting position"
p_002,,"The user performs a right-hand gesture with all fingers straight and the palm facing downward (Image 8), transitions to a right-hand gesture with the thumb bent, index and middle fingers straight, and the palm facing inward (Image 10), followed by a left-hand gesture with the thumb and index finger straight, middle, ring, and little fingers bent, and the palm facing inward (Image 11); no gestures are performed in the remaining frames","The user briefly performed a gesture with the right hand where the thumb was straight and pointing upward, making contact with the bent index and middle fingers while the palm faced outward, before returning to a neutral position","The user performed a left-hand ""thumbs-up"" gesture in Image 3, a combined gesture in Image 14 with the right hand forming a ""thumbs-up"" and the left hand with all fingers straight and close together, and a right-hand ""thumbs-up"" gesture in Image 16; no gestures were performed in the remaining frames","The user briefly performs a gesture with the right hand where all fingers are straight, the thumb points left, the palm faces inward, the index and middle fingers are close, the ring and little fingers are close, and the thumb contacts the ring and little fingers, before returning to no gesture",,"The user performs a gesture with the right hand characterized by a straight index finger, bent thumb and other fingers, thumb contacting the middle finger, and palm oriented outward, with slight variations in finger proximity and thumb-little finger contact, interspersed with resting positions",
p_003,"The user transitions through a sequence of gestures, starting with a closed fist gesture with the right hand (thumb in contact with all fingers), followed by a left-hand gesture with all fingers straight except the little finger, then a right-hand closed fist with varying finger proximities, transitioning to a partially open right hand with the thumb and index finger straight, and finally ending with a fully open right hand with all fingers straight","The user performs a left-hand ""OK"" gesture in Image 1, transitions to no gesture in Images 2-4, performs a right-hand ""thumbs-up"" gesture in Image 5, transitions to a right-hand ""closed fist"" gesture in Images 6-7, alternates between no gesture and variations of a right-hand ""closed fist"" gesture with slight finger adjustments in Images 8-16, and concludes with no gesture in Images 17-18","The user transitions from no gesture to forming a closed fist with the thumb contacting all bent fingers, then extends the index finger while keeping the middle, ring, and little fingers bent, with the thumb straight and non-contacting, and alternates between these poses before returning to no gesture","The user performs a sequence of gestures involving a pinching motion with both hands (Image 1), transitioning to a left-hand pointing gesture with varying finger arrangements (Images 2-3, 6), a right-hand open palm with fingers straight and grouped or spread (Images 4-5, 7-9), a right-hand thumbs-up gesture with slight variations (Images 10-11), a brief pause (Images 12-13), a right-hand pinching motion (Image 14), and finally a right-hand open palm with grouped fingers (Images 15-16)","The user performs a sequence of gestures involving a right-hand closed fist with thumb contacting all fingers, transitioning to a bent-finger pose with thumb contacting the little finger, followed by a left-hand closed fist, then alternating between straight-finger poses with varying finger proximities and thumb directions, interspersed with resting positions","The user performs a pinching gesture with the right hand (Image 1), transitions to a left-hand gesture with the thumb extended and other fingers bent (Image 4), switches to a right-hand gesture with the thumb straight and other fingers bent (Image 5-6), briefly straightens all fingers of the right hand (Image 7), transitions to a right-hand gesture with the thumb bent and other fingers straight (Image 8), and concludes with a left-hand gesture similar to Image 4 (Image 10)","The sequence depicts a right hand transitioning from an open pose with thumb-index contact to a closed pose with bent middle, ring, and little fingers while maintaining thumb-middle contact, followed by intermittent resting positions, and concludes with both hands in an open pose with thumb-index contact","The user performs a sequence of gestures including a right-hand ""OK"" gesture, a left-hand ""OK"" gesture, a right-hand thumbs-up, a left-hand pinching gesture, a right-hand thumbs-up repeated multiple times, a simultaneous right-hand thumbs-up and left-hand ""OK"" gesture, and concludes with both hands in a straight-fingered open position"
p_004,"The user transitions through a sequence of gestures involving a pinching motion with the thumb and fingers, a closed fist with varying finger-thumb contacts, and bent fingers with outward palm orientation, followed by a return to a neutral hand pose","The user performs a sequence of gestures involving a pinching motion with the thumb and index finger, transitions to a hand pose with varying finger flexion and thumb direction, and concludes with a neutral hand pose","The user transitions from no gesture to forming a pinching gesture with the thumb and index finger while other fingers remain straight, then moves to a gesture with a bent little finger and straight other fingers, followed by a closed fist with all fingers bent and thumb contacting multiple fingers, and finally returns to a straight-fingered hand with thumb-index contact before ending with no gesture","The user transitions through a sequence of gestures, including a pinching motion with the thumb and index finger while other fingers remain straight, a gradual bending of all fingers into a closed fist with thumb contact, and alternating between bent and straight finger configurations, before returning to a neutral hand pose","The user performs a sequence of gestures involving a pinching motion with the thumb and index finger, transitioning to a bent thumb with straight fingers, followed by a bent thumb and fingers in various combinations, and ending with straight fingers and thumb, interspersed with moments of no gesture","The user performs a sequence of gestures involving a fully extended hand with varying finger proximities and thumb directions, transitioning to a pinching motion with the thumb and index finger, followed by a bent-finger gesture with thumb contact on different fingers, and concluding with a return to a fully extended hand with thumb-index contact","The user transitions through a sequence of gestures involving a pinching motion with the thumb and index finger while other fingers are bent, a ""thumbs up"" gesture with varying finger flexion and palm orientations, and a final straightening of all fingers before returning to a neutral position","The sequence depicts a progression of gestures involving both hands, starting with no gestures, transitioning to a right-hand ""OK"" sign with straight fingers and thumb-index contact, followed by a left-hand ""OK"" sign with thumb-index contact and a bent little finger, then alternating between hands with bent fingers and thumb contact, and concluding with a right-hand gesture of bent fingers and thumb contact, changing palm orientations and finger proximities throughout"
p_005,"The user performs a sequence of gestures: a ""thumbs up"" with the left hand, followed by a ""thumbs up"" with the right hand, then a ""closed fist"" with the left hand, and finally a ""pinching gesture"" with the left hand","The sequence of gestures includes a left-hand ""OK"" gesture transitioning to a right-hand ""OK"" gesture, followed by a right-hand fist, a left-hand thumbs-up, a right-hand thumbs-up, and concludes with a right-hand ""OK"" gesture","The user alternates between a left-hand ""V"" gesture (index and middle fingers apart) and a ""close-fingers"" gesture (index and middle fingers close), while the right hand occasionally mirrors these gestures or transitions to a ""bent-fingers"" pose with the middle, ring, and little fingers bent","The user performs a sequence of gestures including a left-hand ""rock"" gesture (Image 2), a left-hand ""stop"" gesture (Image 5), simultaneous ""stop"" gestures with both hands (Image 8-9), a right-hand ""pinch"" gesture (Image 10), alternating ""stop"" gestures with the left and right hands (Images 12-15), a simultaneous ""stop"" gesture with both hands (Image 16), a right-hand ""pinch"" gesture (Image 17), and concludes with alternating ""stop"" gestures (Images 18-20)","The user performs a sequence of gestures including an open right hand with fingers spread, a left hand with varying finger proximities and thumb direction, a right hand with bent fingers making thumb contact with other fingers, and alternating open hands with fingers close together, ending with a right hand gesture involving bent middle, ring, and little fingers","The sequence of gestures includes a left-hand pinch gesture transitioning to a right-hand ""L"" shape, followed by a left-hand open palm with fingers close together, a left-hand fist, a simultaneous left-hand open palm and right-hand ""L"" shape, a simultaneous left-hand ""L"" shape and right-hand ""L"" shape, a simultaneous left-hand open palm and right-hand ""L"" shape, and finally both hands in an open palm position","The sequence depicts the user performing a left-hand open palm gesture transitioning to a closed-finger pose, followed by a right-hand bent-finger gesture with thumb contact on middle and ring fingers, alternating with straight-finger poses, and ending with a right-hand open palm gesture with thumb-index contact","The user alternates between a left-hand gesture with all fingers straight and index-middle fingers close (Images 2-4, 11-12, 15-16), a left-hand gesture with all fingers straight and fingers apart (Images 5, 7-10, 13-14), and briefly includes a right-hand gesture with all fingers straight and fingers close (Image 6), before returning to a resting position (Images 18-19)"
p_006,"The user alternates between a hand pose with the thumb bent and contacting the middle and ring fingers, and a pose with the thumb straight and contacting the middle, ring, and little fingers, while the index finger remains straight and the palm faces inward","The user performs a sequence of gestures starting with a partially bent hand with the thumb pointing upward and the palm outward, transitioning to a fully extended hand with fingers close together and thumb making contact with some fingers, followed by a hand with bent middle, ring, and little fingers while the thumb and index remain straight, and ending with a hand where only the little finger is bent, before returning to a resting position","The user performs a pinching gesture with the right hand (thumb in contact with bent fingers) in Image 2, transitions to a right-hand gesture with straight fingers except for the bent little finger in Image 4, alternates between bent and straight finger configurations in subsequent frames, introduces a left-hand gesture with bent fingers in Image 7, and concludes with a left-hand gesture featuring straight fingers and thumb contact in Image 10, followed by a bent ring and little finger configuration in Image 11, before returning to straight fingers in Image 12; no gestures are performed in the remaining frames","The user performs a right-hand gesture with all fingers straight, close together, palm outward, and thumb directed backward (Image 6), followed by a left-hand gesture with the thumb straight, index and middle fingers bent, palm down, and thumb directed right (Images 7-9), then transitions to a right-hand gesture with all fingers straight, close together, palm down, and thumb directed backward (Image 13), and finally a left-hand gesture with all fingers straight, close together, palm outward, and thumb directed upward (Images 14-16)","The user briefly performed a gesture with the right hand where all fingers were straight, the thumb pointed upward, the palm faced outward, and the fingers transitioned from being close together to slightly apart before returning to a resting position","The user performs a pinching gesture with the right hand (thumb in contact with the index and middle fingers, other fingers bent) in Image 4, transitions to a partial pinching gesture (thumb in contact with the index finger, other fingers alternately bent and straight) in Image 5, and later performs an open hand gesture (all fingers straight and apart, palm outward) in Images 8 and 12, with no gestures in the remaining frames","The user transitions from no gesture to forming a pinching gesture with the thumb and index finger while other fingers are bent (Image 4), then straightens all fingers with close proximity (Image 5), alternates between fingers being apart and close with thumb-index contact (Images 6-9), and finally returns to no gesture","The user transitions from no gesture to a ""thumbs-up"" gesture with the left hand (thumb straight, other fingers bent, palm outward), then to an open hand with all fingers straight and close together (palm outward, thumb pointing right or up), and finally to a modified open hand with the thumb bent while other fingers remain straight"
p_007,"The user alternates between a gesture with the right hand where the thumb is bent, the index finger is straight, and the other fingers are bent, with the thumb contacting the middle and ring fingers, and a gesture where the thumb and index finger are straight, the other fingers are bent, and the thumb contacts the middle and ring fingers, with transitions to and from neutral positions","The user performs a gesture with the right hand where all fingers are straight, the index and middle fingers are close, the ring and little fingers are apart, the thumb points left, and the palm faces outward, followed by a brief moment of thumb contact with all fingers before returning to non-contact","The user performs a sequence of gestures: first, a straight-fingered hand with fingers close together and thumb pointing upward, followed by a bent thumb while other fingers remain straight, then a return to the straight-fingered pose, and finally a gesture where the thumb contacts the index and middle fingers while the other fingers bend and spread apart",,"The user performs a sequence of gestures including a closed fist with the thumb contacting all fingers (Image 2), a ""thumbs up"" with bent middle, ring, and little fingers (Images 4, 8, 10, 11, 14, 16, 30), a fully straightened hand with the thumb and fingers apart (Images 24, 28), a ""thumbs up"" with varying finger proximities (Image 31), a backward-facing ""thumbs up"" with bent middle finger (Image 34), and a downward-facing thumb with bent fingers (Image 37), interspersed with neutral or resting hand positions","The user performs a gesture with the right hand where all fingers are straight, the thumb points left, the palm faces outward, and the fingers exhibit specific spacing (index and middle apart, middle and ring close, ring and little apart) from Image 6 to Image 10, with no gestures performed in the other frames","The user transitions from no gesture to a right-hand pose with a straight thumb and index finger, bent middle, ring, and little fingers, with thumb contact on the middle and ring fingers, and varying palm orientations, followed by a bent thumb while maintaining the same finger configuration, and finally switches to a similar pose on the left hand before returning to no gesture","The user transitions from performing a one-handed gesture with the right hand, characterized by a straight thumb and bent fingers with palms inward, to a two-handed gesture with both hands in the same pose, maintaining this gesture consistently before returning to no gesture"
p_008,"The user performs a pinching gesture with the right hand (thumb and index finger in contact, other fingers bent) in Image 5, transitions to an open hand gesture with all fingers straight and thumb pointing up in Image 10, switches to a similar open hand gesture with the left hand in Image 11, performs a partially bent hand gesture with the right hand in Image 12, transitions to a fully bent hand gesture with the right hand in Image 25, alternates to a pinching gesture in Image 26, and concludes with an open hand gesture with all fingers straight in Images 29-31","The user performed a sequence of gestures involving an open hand with straight fingers transitioning to a ""peace"" or ""V"" shape, followed by a bent ring and little finger, then a bent middle and index finger with thumb contact, and finally a fully bent hand with fingers spread apart, interspersed with periods of no gesture","The user performs no gesture initially, then transitions to a right-hand gesture with all fingers straight and the thumb pointing up, followed by a left-hand gesture with similar characteristics, then alternates between both hands with slight variations in finger flexion and thumb direction, including bent thumb and little finger, and concludes with a right-hand gesture involving a bent thumb and index finger, before returning to no gesture","The user performs a sequence of gestures involving a pinching motion with the thumb and index finger while other fingers are bent (Image 14), transitions to a fully extended hand (Image 16), then alternates between various combinations of bent and straight fingers with thumb contact on different fingers (Images 17–34), and finally returns to no gesture","The user performs no gestures initially, then transitions to a right-hand gesture with all fingers straight, thumb pointing up, and palm outward, with varying finger proximities (close or apart), followed by a brief thumb bending motion, and finally transitions to a right-hand gesture with all fingers straight, thumb pointing up, and palm oriented to the left","The user performs a sequence of gestures including a closed fist with thumb-index contact, transitioning to an open hand with straight fingers and varying thumb directions, followed by a bent index and middle finger gesture with thumb contact, and concluding with a straight-fingered hand with close finger proximity","The user performs a pinching gesture with the right hand (thumb and index finger in contact, other fingers bent) in Image 2, transitions to a thumbs-up gesture with the right hand (thumb bent or straight, other fingers straight, palm outward) from Image 8 to Image 22, briefly switches to a thumbs-up gesture with the left hand in Image 23, and concludes with a pointing gesture with the right hand (index finger straight, other fingers bent, palm inward) in Image 27, followed by a relaxed hand in Image 30","The user performs a sequence of gestures involving a straight hand with fingers close together and thumb pointing up or left, transitioning to variations with the thumb bent or fingers apart, and ending with a straight hand with fingers apart and thumb pointing down or left"
p_009,"The sequence depicts a progression of gestures involving the right hand, starting with a pinching motion between the thumb and index finger, transitioning to various configurations of bent and straight fingers with changes in palm orientation and thumb direction, and ending with a left-hand gesture featuring all fingers bent and thumb-index contact","The user performs a ""pinching"" gesture with the right hand (Images 2-3), transitions to a ""grasping"" gesture with the left hand (Images 5-14), briefly combines it with a ""pointing"" gesture using the right hand (Image 6), and concludes with another ""pinching"" gesture with the right hand (Image 15)","The user performs a left-hand open palm gesture with fingers spread (Image 4), transitions to a right-hand open palm gesture with fingers spread (Image 5), then combines a right-hand open palm gesture with fingers spread and a left-hand closed fist gesture with thumb contacting all fingers (Images 6-7), maintains the left-hand closed fist gesture while the right hand alternates between bent and straight finger configurations (Images 8-17), and finally returns to no gesture (Images 18-24)","The user initially performs a right-hand gesture with the thumb straight and other fingers bent, palm facing down, followed by a combined gesture where the right hand has all fingers straight and the left hand has all fingers bent with thumb-finger contacts, transitioning to a right-hand gesture with the thumb contacting the bent index finger, and finally ending with a left-hand gesture with all fingers bent and thumb-finger contacts","The user performs a sequence of gestures starting with an open left hand with fingers straight and close together, transitions to a closed left hand with all fingers bent and in contact with the thumb, then introduces a straight right hand with fingers close together while maintaining the closed left hand, and finally alternates between these poses before returning to a resting position","The user performs a sequence of gestures including a right-hand open palm with fingers straight and varying proximities (Images 2-3), a left-hand closed fist with thumb contacting all fingers (Images 6-7, 9-10, 12, 14, 16-18, 21-24), a left-hand thumb straight with bent fingers (Image 13), and a right-hand thumb straight with bent fingers (Image 28), interspersed with periods of no gesture","The user transitions from an open hand with all fingers straight and the thumb pointing upward (initially with fingers apart, then brought close together) to a gesture where the thumb contacts the bent index and middle fingers, and finally to a fully closed fist before returning to a resting position","The user performs a right-hand open palm gesture with fingers spread outward, transitions to a left-hand closed gesture with thumb contacting multiple fingers, then alternates between both hands making distinct gestures, including a right-hand partial fist with thumb contact and a left-hand open palm with varying finger proximities, before returning to no gestures"
